29 mini_c2tm_0.seq 3.8, 2.26, -3.0, 102.8, -7.572, [10.0], [1], [180], 2.0
29 mini_c2tm_100.seq 3.8, 2.26, -4.0, 102.8, -10.119, [50.0], [1], [180], 3.0
38 mini_c2tm_101.seq 3.8, 2.26, -4.0, 102.8, -10.119, [50.0], [1], [180], -2.0
34 mini_c2tm_102.seq 3.8, 2.26, -4.0, 102.8, -10.119, [50.0], [1], [180], -2.5
29 mini_c2tm_103.seq 3.8, 2.26, -4.0, 102.8, -10.119, [50.0], [1], [180], -3.0
27 mini_c2tm_104.seq 3.8, 2.26, -4.0, 102.8, -10.119, [50.0], [1], [180], -3.5
40 mini_c2tm_105.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], 2.0
37 mini_c2tm_106.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], 2.5
39 mini_c2tm_107.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], 3.0
40 mini_c2tm_108.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], -2.0
37 mini_c2tm_109.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], -2.5
26 mini_c2tm_10.seq 3.8, 2.26, -3.5, 102.8, -8.843, [10.0], [1], [180], -2.0
39 mini_c2tm_110.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], -3.0
39 mini_c2tm_111.seq 3.8, 2.26, -3.0, 102.8, -7.572, [60.0], [1], [180], -3.5
37 mini_c2tm_112.seq 3.8, 2.26, -3.5, 102.8, -8.843, [60.0], [1], [180], 2.0
37 mini_c2tm_113.seq 3.8, 2.26, -3.5, 102.8, -8.843, [60.0], [1], [180], 2.5
38 mini_c2tm_114.seq 3.8, 2.26, -3.5, 102.8, -8.843, [60.0], [1], [180], 3.0
37 mini_c2tm_115.seq 3.8, 2.26, -3.5, 102.8, -8.843, [60.0], [1], [180], -2.0
37 mini_c2tm_116.seq 3.8, 2.26, -3.5, 102.8, -8.843, [60.0], [1], [180], -2.5
38 mini_c2tm_117.seq 3.8, 2.26, -3.5, 102.8, -8.843, [60.0], [1], [180], -3.0
