Loop_length RMSD loopMatch_pdb
5 0.53477 match16
10 0.54122 match18
14 0.55333 match24
11 0.56042 match28
11 0.57453 match40
7 0.59124 match48
4 0.59494 match53
11 0.59819 match56
7 0.60117 match60
8 0.61339 match67
5 0.61613 match71
5 0.6184 match77
3 0.62901 match92
13 0.64246 match104
12 0.64938 match117
7 0.64952 match118
5 0.6511 match123
7 0.65326 match128
7 0.65879 match138
3 0.66345 match146
11 0.66535 match152
5 0.67014 match156
7 0.67251 match159
3 0.67482 match164
9 0.67596 match167
10 0.68606 match186
9 0.68637 match188
10 0.68775 match190
12 0.69247 match205
3 0.69551 match212
10 0.69591 match213
5 0.69682 match215
12 0.69805 match220
12 0.70014 match223
3 0.70043 match225
9 0.70112 match228
9 0.70199 match230
4 0.70221 match233
3 0.70318 match235
7 0.70444 match239
10 0.70517 match243
14 0.7078 match249
7 0.70832 match253
5 0.70833 match254
3 0.71158 match263
6 0.71288 match265
10 0.71352 match266
8 0.71554 match271
3 0.71715 match276
5 0.71877 match281
10 0.71921 match283
5 0.71937 match284
9 0.71939 match286
3 0.72232 match302
9 0.72415 match307
5 0.72568 match313
11 0.72777 match324
9 0.73388 match340
11 0.73881 match355
5 0.73892 match356
9 0.73979 match357
7 0.74006 match358
6 0.74161 match366
3 0.74283 match370
5 0.74364 match374
5 0.74418 match376
10 0.74443 match377
10 0.74491 match379
3 0.74566 match385
3 0.74617 match386
6 0.74899 match392
10 0.75015 match393
5 0.7513 match398
5 0.75251 match406
9 0.75314 match409
9 0.75389 match410
9 0.75422 match411
3 0.75441 match413
3 0.75472 match415
9 0.75744 match420
10 0.75892 match427
9 0.75977 match433
9 0.76204 match442
9 0.76333 match446
9 0.76374 match448
5 0.76377 match449
10 0.76635 match457
7 0.76788 match459
7 0.76875 match460
12 0.76955 match462
9 0.77089 match464
10 0.77097 match465
10 0.77229 match469
4 0.77235 match470
7 0.77294 match473
10 0.77555 match485
3 0.77748 match491
7 0.7779 match492
10 0.77938 match494
7 0.78067 match495
10 0.78366 match499
8 0.78482 match502
14 0.78614 match507
6 0.78652 match509
10 0.78674 match511
4 0.78785 match516
8 0.79522 match543
5 0.79525 match544
