# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [90.0, 90.0, 90.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [95.0, 95.0, 95.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
